class_slug,generic_slug
penicillins,amoxicillin
penicillins,amoxicillin-clavulanic-acid
cephalosporins,cefixime
cephalosporins,cefuroxime
cephalosporins,ceftriaxone
sulfonamides,cotrimoxazole
sulfonamides,sulfamethoxazole
nsaids,ibuprofen
nsaids,diclofenac
nsaids,naproxen
nsaids,ketorolac
nsaids,aspirin
fluoroquinolones,ciprofloxacin
fluoroquinolones,levofloxacin
fluoroquinolones,moxifloxacin
macrolides,azithromycin
tetracyclines,doxycycline
azoles,fluconazole
azoles,clotrimazole
nitroimidazoles,metronidazole
benzodiazepines,clonazepam
benzodiazepines,diazepam
opioids,tramadol
statins,atorvastatin
statins,rosuvastatin
ace_inhibitors,enalapril
arbs,losartan
