slug,name,name_bn,atc_code,therapeutic_class,aliases,is_controlled,is_pediatric_weight_based,components,default_presentations,status
paracetamol,Paracetamol,প্যারাসিটামল,N02BE01,Analgesic / antipyretic,Acetaminophen|প্যারাসিটামল|প্যারা,0,1,,tab:500 mg:10x10; tab:665 mg XR:10x10; syr:120 mg/5 ml:100 ml; oral_drop:80 mg/ml:15 ml; supp:500 mg:5; inj:1 g/100 ml:100 ml,
ibuprofen,Ibuprofen,আইবুপ্রোফেন,M01AE01,NSAID,আইবুপ্রোফেন,0,1,,tab:400 mg:10x10; tab:200 mg:10x10; susp:100 mg/5 ml:100 ml,
diclofenac,Diclofenac,ডাইক্লোফেনাক,M01AB05,NSAID,Diclofenac sodium|Diclofenac potassium|ডাইক্লোফেনাক,0,1,,tab:50 mg:10x10; tab:100 mg SR:10x10; supp:50 mg:5; inj:75 mg/3 ml:10; gel:1 %:20 g,
naproxen,Naproxen,ন্যাপ্রোক্সেন,M01AE02,NSAID,Naproxen sodium,0,1,,tab:250 mg:10x10; tab:500 mg:10x10,
ketorolac,Ketorolac,কিটোরোল্যাক,M01AB15,NSAID,Ketorolac tromethamine,0,0,,tab:10 mg:10x10; inj:30 mg/ml:5,
aspirin,Aspirin,অ্যাসপিরিন,B01AC06,Antiplatelet,Acetylsalicylic acid|ASA|অ্যাসপিরিন,0,0,,tab:75 mg:10x10; tab:300 mg:10x10,
tramadol,Tramadol,ট্রামাডল,N02AX02,Opioid analgesic,Tramadol hydrochloride,1,0,,cap:50 mg:10x10; tab:100 mg SR:10x10; inj:100 mg/2 ml:5,
omeprazole,Omeprazole,ওমিপ্রাজল,A02BC01,Proton pump inhibitor,ওমিপ্রাজল,0,1,,cap:20 mg:10x10; cap:40 mg:10x10; inj:40 mg:1,
esomeprazole,Esomeprazole,ইসোমিপ্রাজল,A02BC05,Proton pump inhibitor,Esomeprazole magnesium,0,1,,cap:20 mg:10x10; cap:40 mg:10x10; inj:40 mg:1,
pantoprazole,Pantoprazole,প্যান্টোপ্রাজল,A02BC02,Proton pump inhibitor,Pantoprazole sodium,0,1,,tab:20 mg:10x10; tab:40 mg:10x10; inj:40 mg:1,
