generic_slug,child_pugh_class,level,advice
paracetamol,,adjust_dose,Reduce the dose in moderate to severe hepatic impairment.
ibuprofen,,caution,Use with caution in hepatic impairment.
diclofenac,,caution,Use with caution in hepatic impairment.
naproxen,,caution,Use with caution in hepatic impairment.
ketorolac,,caution,Use with caution in hepatic impairment.
aspirin,,caution,Use with caution in hepatic impairment.
tramadol,,adjust_dose,Reduce the dose in moderate to severe hepatic impairment.
omeprazole,,caution,Use with caution in hepatic impairment.
esomeprazole,,caution,Use with caution in hepatic impairment.
pantoprazole,,caution,Use with caution in hepatic impairment.
domperidone,,avoid,Avoid in active liver disease or unexplained persistent raised transaminases.
ondansetron,,adjust_dose,Reduce the dose in moderate to severe hepatic impairment.
amoxicillin-clavulanic-acid,,caution,Use with caution in hepatic impairment.
ceftriaxone,,caution,Use with caution in hepatic impairment.
azithromycin,,caution,Use with caution in hepatic impairment.
doxycycline,,caution,Use with caution in hepatic impairment.
metronidazole,,adjust_dose,Reduce the dose in moderate to severe hepatic impairment.
cotrimoxazole,,caution,Use with caution in hepatic impairment.
nitrofurantoin,,caution,Use with caution in hepatic impairment.
fluconazole,,caution,Use with caution in hepatic impairment.
albendazole,,caution,Use with caution in hepatic impairment.
cetirizine,,caution,Use with caution in hepatic impairment.
loratadine,,caution,Use with caution in hepatic impairment.
chlorpheniramine,,caution,Use with caution in hepatic impairment.
montelukast,,caution,Use with caution in hepatic impairment.
metformin,,avoid,Avoid in active liver disease or unexplained persistent raised transaminases.
glimepiride,,caution,Use with caution in hepatic impairment.
gliclazide,,caution,Use with caution in hepatic impairment.
insulin-human-70-30,,caution,Use with caution in hepatic impairment.
amlodipine,,caution,Use with caution in hepatic impairment.
losartan,,caution,Use with caution in hepatic impairment.
bisoprolol,,caution,Use with caution in hepatic impairment.
frusemide,,caution,Use with caution in hepatic impairment.
spironolactone,,caution,Use with caution in hepatic impairment.
atorvastatin,,avoid,Avoid in active liver disease or unexplained persistent raised transaminases.
rosuvastatin,,avoid,Avoid in active liver disease or unexplained persistent raised transaminases.
clopidogrel,,caution,Use with caution in hepatic impairment.
warfarin,,caution,Use with caution in hepatic impairment.
amitriptyline,,caution,Use with caution in hepatic impairment.
sertraline,,adjust_dose,Reduce the dose in moderate to severe hepatic impairment.
clonazepam,,caution,Use with caution in hepatic impairment.
diazepam,,adjust_dose,Reduce the dose in moderate to severe hepatic impairment.
allopurinol,,caution,Use with caution in hepatic impairment.
