generic_slug,route_code,population,max_mg_per_day,max_mg_per_kg_per_day,max_mg_per_dose,min_age_months,max_age_months,notes
paracetamol,,adult,4000,,,,,
paracetamol,,pediatric,,60,,,215,
ibuprofen,,adult,2400,,,,,
ibuprofen,,pediatric,,40,,,215,
diclofenac,,adult,150,,,,,
diclofenac,,pediatric,,3,,,215,
naproxen,,adult,1250,,,,,
naproxen,,pediatric,,20,,,215,
ketorolac,,adult,40,,,,,
ketorolac,,pediatric,40,,,192,215,Contraindicated below 16 years.
aspirin,,adult,4000,,,,,
aspirin,,pediatric,4000,,,192,215,Contraindicated below 16 years.
tramadol,,adult,400,,,,,
tramadol,,pediatric,400,,,144,215,Contraindicated below 12 years.
omeprazole,,adult,40,,,,,
omeprazole,,pediatric,,1,,,215,
esomeprazole,,adult,40,,,,,
esomeprazole,,pediatric,,1,,,215,
pantoprazole,,adult,80,,,,,
pantoprazole,,pediatric,,1,,,215,
ranitidine,,adult,300,,,,,
ranitidine,,pediatric,,10,,,215,
domperidone,,adult,30,,,,,
domperidone,,pediatric,,0.75,,,215,
ondansetron,,adult,32,,,,,
ondansetron,,pediatric,,0.45,,,215,
hyoscine-butylbromide,,adult,60,,,,,
hyoscine-butylbromide,,pediatric,,1.5,,,215,
amoxicillin,,adult,3000,,,,,
amoxicillin,,pediatric,,90,,,215,
amoxicillin-clavulanic-acid,,adult,3000,,,,,
amoxicillin-clavulanic-acid,,pediatric,,90,,,215,
cefixime,,adult,400,,,,,
cefixime,,pediatric,,8,,,215,
cefuroxime,,adult,1000,,,,,
cefuroxime,,pediatric,,30,,,215,
ceftriaxone,,adult,4000,,,,,
ceftriaxone,,pediatric,,100,,,215,
azithromycin,,adult,500,,,,,
azithromycin,,pediatric,,10,,,215,
doxycycline,,adult,200,,,,,
doxycycline,,pediatric,,4,,96,215,Contraindicated below 8 years.
ciprofloxacin,,adult,1500,,,,,
ciprofloxacin,,pediatric,,30,,,215,
levofloxacin,,adult,750,,,,,
levofloxacin,,pediatric,,20,,,215,
metronidazole,,adult,2400,,,,,
metronidazole,,pediatric,,40,,,215,
cotrimoxazole,,adult,1920,,,,,
cotrimoxazole,,pediatric,,40,,,215,
nitrofurantoin,,adult,400,,,,,
nitrofurantoin,,pediatric,,7,,,215,
fluconazole,,adult,400,,,,,
fluconazole,,pediatric,,12,,,215,
albendazole,,adult,800,,,,,
albendazole,,pediatric,,15,,,215,
cetirizine,,adult,10,,,,,
cetirizine,,pediatric,,0.25,,,215,
loratadine,,adult,10,,,,,
loratadine,,pediatric,10,,,,215,
fexofenadine,,adult,180,,,,,
fexofenadine,,pediatric,60,,,,215,
chlorpheniramine,,adult,24,,,,,
chlorpheniramine,,pediatric,,0.35,,,215,
montelukast,,adult,10,,,,,
montelukast,,pediatric,5,,,,215,
salbutamol,po,adult,16,,,,,
salbutamol,po,pediatric,,0.3,,,215,
budesonide,neb,adult,4,,,,,
budesonide,neb,pediatric,2,,,,215,
xylometazoline,,pediatric,0,,,24,215,Contraindicated below 2 years.
prednisolone,,adult,80,,,,,
prednisolone,,pediatric,,2,,,215,
dexamethasone,,adult,16,,,,,
dexamethasone,,pediatric,,0.6,,,215,
metformin,,adult,2550,,,,,
metformin,,pediatric,2000,,,120,215,Licensed from 10 years.
glimepiride,,adult,8,,,,,
glimepiride,,pediatric,8,,,216,215,Contraindicated below 18 years.
gliclazide,,adult,320,,,,,
gliclazide,,pediatric,320,,,216,215,Contraindicated below 18 years.
sitagliptin,,adult,100,,,,,
sitagliptin,,pediatric,100,,,216,215,Contraindicated below 18 years.
amlodipine,,adult,10,,,,,
amlodipine,,pediatric,,0.3,,,215,
losartan,,adult,100,,,,,
losartan,,pediatric,,1.4,,,215,
enalapril,,adult,40,,,,,
enalapril,,pediatric,,0.6,,,215,
bisoprolol,,adult,20,,,,,
atenolol,,adult,100,,,,,
atenolol,,pediatric,,2,,,215,
frusemide,,adult,600,,,,,
frusemide,,pediatric,,6,,,215,
spironolactone,,adult,400,,,,,
spironolactone,,pediatric,,3.3,,,215,
atorvastatin,,adult,80,,,,,
atorvastatin,,pediatric,20,,,120,215,Licensed from 10 years.
rosuvastatin,,adult,40,,,,,
rosuvastatin,,pediatric,20,,,,215,
clopidogrel,,adult,300,,,,,
clopidogrel,,pediatric,,1,,,215,
levothyroxine,,adult,0.3,,,,,
levothyroxine,,pediatric,,0.006,,,215,
amitriptyline,,adult,150,,,,,
amitriptyline,,pediatric,,1,,,215,
sertraline,,adult,200,,,,,
sertraline,,pediatric,200,,,,215,
clonazepam,,adult,20,,,,,
clonazepam,,pediatric,,0.2,,,215,
diazepam,,adult,40,,,,,
diazepam,,pediatric,,0.8,,,215,
allopurinol,,adult,900,,,,,
allopurinol,,pediatric,,20,,,215,
zinc-sulfate,,adult,40,,,,,
zinc-sulfate,,pediatric,20,,,,215,
calcium-carbonate-vitamin-d3,,adult,1500,,,,,
ferrous-sulfate,,adult,600,,,,,
ferrous-sulfate,,pediatric,,6,,,215,
paracetamol,,elderly,3000,,1000,,,Frail or low body weight: 3 g/day.
ibuprofen,,elderly,1200,,400,,,
diazepam,,elderly,20,,5,,,Halve adult doses.
tramadol,,elderly,300,,100,,,
